(y, x, P(y))
0.0, 0.0, 0.0
1.0, 0.23222350426080557, 0.6480290902394832
2.0, 0.911542202216731, 2.4960625170012984
3.0, 2.012851413826696, 5.407925125904524
4.0, 3.512235878984802, 9.257486027760953
5.0, 5.38691976274859, 13.92806237113992
6.0, 7.615218563043102, 19.31185126968802
7.0, 10.176492854723422, 25.309388425485807
8.0, 13.051103805983454, 31.829031929787583
9.0, 16.220370405142305, 38.786469664690394
10.0, 19.666528337823593, 46.104248665763166
11.0, 23.37269045646866, 53.711324730385655
12.0, 27.322808785993995, 61.542630464448436
13.0, 31.50163801121705, 69.5386598465905
14.0, 35.89470039343522, 77.64506724991047
15.0, 40.48825206525121, 85.81227869164597
16.0, 45.269250654395314, 93.99511287704686
17.0, 50.22532418890366, 102.15240935965231
18.0, 55.344741237571505, 110.24666085112779
19.0, 60.616382241114216, 118.24364637400981
20.0, 66.02971199093679, 126.11206155394285
21.0, 71.57475321383612, 133.82314188755663
22.0, 77.24206122234189, 141.35027429074302
23.0, 83.02269959174039, 148.66859162186233
24.0, 88.90821682612417, 155.7545441768188
25.0, 94.89062397706985, 162.58544135877548
26.0, 100.96237317976599, 169.13895582459384
27.0, 107.116337072597, 175.3925813921441
28.0, 113.34578906733542, 181.32303484588118
29.0, 119.64438443820633, 186.90559049002914
30.0, 126.00614219916561, 192.11333485592613
31.0, 132.4254277397765, 196.91632735803302
32.0, 138.89693619108183, 201.28065089615285
33.0, 145.41567649384777, 205.1673344026466
34.0, 151.9769561425058, 208.53112711460622
35.0, 158.5763665790384, 211.31910189234023
36.0, 165.20976921194463, 213.4690621857976
37.0, 171.8732820362865, 214.90772424662612
38.0, 178.56326683164775, 215.548642870455
39.0, 185.276316915653, 215.28984530461756
40.0, 192.00924543147147, 214.01113394162147
41.0, 198.75907414849218, 211.57101400642716
42.0, 205.5230227560901, 207.80319760161953
43.0, 212.2984986311141, 202.51263016155357
44.0, 219.08308706041376, 195.47097954412013
45.0, 225.87454190039068, 186.41152161314884
46.0, 232.67077665619973, 175.02334918826028
47.0, 239.4698559638536, 160.94482361090292
48.0, 246.26998745908259, 143.75617983987553
49.0, 253.0695140173881, 122.97118688684222
50.0, 259.8669063502899, 98.02775546734962
51.0, 266.6607559433148, 68.27737390561609
52.0, 273.44976832180026, 32.97324151630295
53.0, 280.2327566310977, -8.743044187979393
54.0, 287.0086355182538, -57.85640413638686
55.0, 293.77641530272274, -115.49497112345577
56.0, 300.5351964241264, -182.94874956092133
57.0, 307.28416415552215, -261.69044916337384
58.0, 314.02258357107047, -353.39871980622434
59.0, 320.7497947574091, -459.9840361258068
60.0, 327.4652082584427, -583.6175035971764
61.0, 334.1683007436468, -726.7628829717567
62.0, 340.8586108903571, -892.2121572408656
63.0, 347.53573547087996, -1083.1249948808845
64.0, 354.19932563560826, -1303.072495211107
65.0, 360.8490833836655, -1556.0856364497017
66.0, 367.484758212926, -1846.7088846927281
67.0, 374.10614394157557, -2180.0594627877376
68.0, 380.71307569367974, -2561.8928221629358
69.0, 387.30542704151947, -2998.6749083586533
70.0, 393.8831072977395, -3497.6618625602705
71.0, 400.446058950625, -4066.987857139302
72.0, 406.99425523608755, -4715.761823381023
73.0, 413.5276978401945, -5454.173894541238
74.0, 420.0464147263219, -6293.612457484022
75.0, 426.5504580812468, -7246.792781780169
76.0, 433.0399023747231, -8327.898276692886
77.0, 439.5148425273043, -9552.735514368318
78.0, 445.9753921813901, -10938.90425223861
79.0, 452.42168207067505, -12505.983789615482
80.0, 458.8538584833777, -14275.737103220774
81.0, 465.27208181481546, -16272.334324509759
82.0, 471.67652520507437, -18522.59724868193
83.0, 478.06737325769967, -21056.266701855504
84.0, 484.44482083550054, -23906.294739670815
85.0, 490.8090719297274, -27109.163808279824
86.0, 497.16033859903706, -30705.235168020106
87.0, 503.49883997481135, -34739.12906185379
88.0, 509.8248013295412, -39260.13930570662
89.0, 516.1384532051289, -44322.68518707074
90.0, 522.4400305980952, -49986.8037825734
91.0, 528.7297721988067, -56318.68604566715
92.0, 535.0079196819682, -63391.260273226304
93.0, 541.2747170457382, -71284.82683577336
94.0, 547.5304099969463, -80087.7483514876
95.0, 553.7752453800019, -89897.1998003434
96.0, 560.0094706471856, -100819.98341302054
97.0, 566.2333333681237, -112973.41353104144
98.0, 572.4470807763407, -126486.27702142473
99.0, 578.6509593508805, -141499.87524257705
100.0, 584.8452144310761, -158169.1539998757
101.0, 591.0300898626416, -176663.92840117795
102.0, 597.2058276733319, -197170.21002621163
103.0, 603.3726677765115, -219891.64436146227
104.0, 609.5308477010367, -245051.0670258166
105.0, 615.6806023459386, -272892.1879241306
106.0, 621.822163758465, -303681.41311837215
107.0, 627.9557609341003, -337709.8149014555
108.0, 634.081619637259, -375295.26130006637
109.0, 640.1999622414003, -416784.7170223007
110.0, 646.3110075873806, -462556.7287067599
111.0, 652.4149708589126, -513024.10822492634
